Qwilfish Tropius Qwilfish Drampa Phanpy Skiddo Noibat Simisear Sandile Terrakion Politoed Magmar Qwilfish
32
Tropius Taillow Plusle Wailord
Sandile Porygon2 Vespiquen Escavalier Sandile
Simisear Comfey Seaking Simisear
Politoed Treecko Bastiodon
Terrakion Slurpuff Woobat Shellder
Noibat Weepinbell Noibat
Skorupi Swadloon Skorupi
Skiddo Magnemite Skiddo
Magmar Steenee Conkeldurr Magmar
Phanpy Stufful
Drampa Bounsweet Tauros Drampa
Volcarona Volcarona
Meloetta Meloetta
Gengar Gengar
Whismur Whismur
Metapod Metapod
Nincada Nincada
Drapion Drapion
Scatterbug Scatterbug
Vullaby Vullaby
Crawdaunt Crawdaunt
Munna Munna
Weezing Weezing
Froakie Froakie
Metang Metang
Honedge Honedge
Inkay Inkay
Lotad Lotad
Shellos Shellos
Amoonguss Amoonguss
Jumpluff Jumpluff
Kakuna Kakuna
