Burlington Independence Greensboro Hialeah Hialeah Greensboro Cambridge ElMonte Denver Denver ElMonte Cambridge Frederick Chattanooga Plen Plen Chattanooga Frederick Brighton Downey Buffalo Corona Julian Cedar Columbus Clarke Miramar Miramar Clarke Amarillo Amarillo Cedar Davenport Davenport Corona Buffalo Downey Brighton Killeen Killeen
16
Independence Louisville Naperville Independence
Burlington Rapids Greenville Prairie Honolulu
Julian Merced
Columbus McAllen Bridgeport Hayward Myrtle Columbus
Buffalo Buffalo
Denver Denver
Amarillo Amarillo
Chicago Chicago
Davenport Davenport
Killeen Killeen
Chattanooga Chattanooga
Clarke Clarke
Miramar Miramar
Cedar Cedar
Cambridge Cambridge
Hampton Hampton
