Egbertree Emsham Burrerchester Elmey Watchwang Wetbury Todderbrough Ciringsmith Canningborough Rotling Ketley Clerelow Blanhead Ciringbury Shaftgrove Soddleney Flitchester Egginghall Egmansdown Emsling Camborough Shrivling Cleremere Fulover Skelberover Worborough Candlesstanling Whithall Whithall Worborough Skelberover Fulover Cleremere Shrivling Camborough Emsling Egginghall Flitchester Soddleney Shaftgrove Ciringbury Blanhead Clerelow Rotling Canningborough Ciringsmith Todderbrough Wetbury Watchwang Elmey Emsham
12
Egbertree Bootherlow
Burrerchester Skelhampton
Ketley Marlseybrough
Egmansdown Reddledenthorne
Candlesstanling Falrensbury Sidensmith
Todderbrough Todderbrough
Ciringsmith Ciringsmith
Shaftgrove Shaftgrove
Soddleney Soddleney
Cleremere Cleremere
Fulover Fulover
Tipdown Tipdown
