AAA AAB AAC ABC ACC ADC ACC ABC AAB ABB ACB ADB ACB ABB AAB AAA ABA ACA ADA BAA BAB BAC BBC BCC BDC BCC BBC BAB BBB BCB BDB BCB BBB BAB BAA BBA BCA BDA CAA CAB CAC CBC CCC CDC CCC CBC CAB CBB CCB CDB CCB CBB CAB CAA CBA CCA CDA DAA DAB DAC DBC DCC DDC DCC DBC DAB DBB DCB DDB DCB DBB DAB DAA DBA DCA DDA EAA EAB EAC EBC ECC EDC ECC EBC EAB EBB ECB EDB ECB EBB EAB EAA EBA ECA EDA FAA FAB FAC FBC FCC FDC FCC FBC FAB FBB FCB FDB FCB FBB FAB FAA FBA FCA FDA FCA FBA FAA EDA ECA EBA EAA DDA DCA DBA DAA CDA CCA CBA CAA BDA BCA BBA BAA ADA ACA ABA AAA
36
AAC ADD
BAC BDD
CAC CDD
DAC DDD
EAC EDD
FAC FDD
AAD AAD
ABB ABB
ABC ABC
ACB ACB
ACD ACD
BAD BAD
BBB BBB
BBC BBC
BCB BCB
BCD BCD
CAD CAD
CBB CBB
CBC CBC
CCB CCB
CCD CCD
DAD DAD
DBB DBB
DBC DBC
DCB DCB
DCD DCD
EAD EAD
EBB EBB
EBC EBC
ECB ECB
ECD ECD
FAD FAD
FBB FBB
FBC FBC
FCB FCB
FCD FCD
